date,value,day_of_week
2021-08-12,354.57,Thursday
2021-08-13,358.7,Friday
2021-08-14,506.83,Saturday
2021-08-15,380.34,Sunday
2021-08-16,358.82,Monday
2021-08-17,439.8,Tuesday
2021-08-18,372.57,Wednesday
2021-08-19,391.14,Thursday
2021-08-20,382.74,Friday
2021-08-21,444.53,Saturday
2021-08-22,433.54,Sunday
2021-08-23,406.11,Monday
2021-08-24,466.71,Tuesday
2021-08-25,385.21,Wednesday
2021-08-26,396.37,Thursday
2021-08-27,452.23,Friday
2021-08-28,433.79,Saturday
2021-08-29,474.92,Sunday
2021-08-30,408.22,Monday
2021-08-31,338.45,Tuesday
2021-09-01,399.06,Wednesday
2021-09-02,416.13,Thursday
2021-09-03,295.07,Friday
2021-09-04,330.12,Saturday
2021-09-05,485.45,Sunday
2021-09-06,459.14,Monday
2021-09-07,380.5,Tuesday
2021-09-08,332.8,Wednesday
2021-09-09,409.19,Thursday
2021-09-10,721.27,Friday
2021-09-11,486.04,Saturday
2021-09-12,573.78,Sunday
2021-09-13,404.04,Monday
2021-09-14,426.85,Tuesday
2021-09-15,372.98,Wednesday
2021-09-16,426.42,Thursday
2021-09-17,376.99,Friday
2021-09-18,526.36,Saturday
2021-09-19,394.01,Sunday
2021-09-20,374.1,Monday
2021-09-21,537.56,Tuesday
2021-09-22,452.48,Wednesday
2021-09-23,542.57,Thursday
2021-09-24,475.35,Friday
2021-09-25,464.56,Saturday
2021-09-26,463.29,Sunday
2021-09-27,503.12,Monday
2021-09-28,353.12,Tuesday
2021-09-29,420.31,Wednesday
2021-09-30,508.34,Thursday
2021-10-01,419.05,Friday
2021-10-02,766.39,Saturday
2021-10-03,365.36,Sunday
2021-10-04,410.33,Monday
2021-10-05,575.52,Tuesday
2021-10-06,371.76,Wednesday
2021-10-07,383.56,Thursday
2021-10-08,401.14,Friday
2021-10-09,931.8,Saturday
2021-10-10,488.25,Sunday
2021-10-11,356.42,Monday
2021-10-12,506.4,Tuesday
2021-10-13,371.65,Wednesday
2021-10-14,412.82,Thursday
2021-10-15,362.12,Friday
2021-10-16,384.65,Saturday
2021-10-17,478.13,Sunday
2021-10-18,358.2,Monday
2021-10-19,400.25,Tuesday
2021-10-20,366.18,Wednesday
2021-10-21,398.05,Thursday
2021-10-22,221.9,Friday
2021-10-23,823.3,Saturday
2021-10-24,539.99,Sunday
2021-10-25,542.95,Monday
2021-10-26,499.69,Tuesday
2021-10-27,574.86,Wednesday
2021-10-28,439.7,Thursday
2021-10-29,349.42,Friday
2021-10-30,560.75,Saturday
2021-10-31,435.04,Sunday
2021-11-01,279.21,Monday
2021-11-02,437.43,Tuesday
2021-11-03,655.72,Wednesday
2021-11-04,422.59,Thursday
2021-11-05,384.55,Friday
2021-11-06,490.54,Saturday
2021-11-07,458.74,Sunday
2021-11-08,562.13,Monday
2021-11-09,342.34,Tuesday
2021-11-10,324.29,Wednesday
2021-11-11,470.42,Thursday
2021-11-12,367.39,Friday
2021-11-13,473.86,Saturday
2021-11-14,568.56,Sunday
2021-11-15,489.67,Monday
2021-11-16,654.26,Tuesday
2021-11-17,857.69,Wednesday
2021-11-18,721.4,Thursday
2021-11-19,545.3,Friday
2021-11-20,495.59,Saturday
2021-11-21,444.25,Sunday
2021-11-22,576.06,Monday
2021-11-23,480.35,Tuesday
2021-11-24,402.14,Wednesday
2021-11-25,410.57,Thursday
2021-11-26,783.41,Friday
2021-11-27,342.41,Saturday
2021-11-28,532.72,Sunday
2021-11-29,383.13,Monday
2021-11-30,479.35,Tuesday
2021-12-01,337.36,Wednesday
2021-12-02,713.3,Thursday
2021-12-03,417.29,Friday
2021-12-04,693.85,Saturday
2021-12-05,496.11,Sunday
2021-12-06,493.56,Monday
2021-12-07,483.06,Tuesday
2021-12-08,806.11,Wednesday
2021-12-09,681.14,Thursday
2021-12-10,669.02,Friday
2021-12-11,486.81,Saturday
2021-12-12,542.24,Sunday
2021-12-13,752.32,Monday
2021-12-14,699.07,Tuesday
2021-12-15,633.79,Wednesday
2021-12-16,640.21,Thursday
2021-12-17,610.01,Friday
2021-12-18,538.92,Saturday
2021-12-19,603.17,Sunday
2021-12-20,715.18,Monday
2021-12-21,609.21,Tuesday
2021-12-22,564.12,Wednesday
2021-12-23,580.38,Thursday
2021-12-24,567.36,Friday
2021-12-25,653.12,Saturday
2021-12-26,660.02,Sunday
2021-12-27,609.33,Monday
2021-12-28,453.43,Tuesday
2021-12-29,512.72,Wednesday
2021-12-30,676.09,Thursday
2021-12-31,639.9,Friday
2022-01-01,664.03,Saturday
2022-01-02,548.8,Sunday
2022-01-03,970.09,Monday
2022-01-04,617.78,Tuesday
2022-01-05,496.1,Wednesday
2022-01-06,389.36,Thursday
2022-01-07,492.3,Friday
2022-01-08,550.1,Saturday
2022-01-09,635.22,Sunday
2022-01-10,604.53,Monday
