date,value,day_of_week
2021-08-12,1660.58,Thursday
2021-08-13,1813.35,Friday
2021-08-14,1813.72,Saturday
2021-08-15,1806.34,Sunday
2021-08-16,1796.63,Monday
2021-08-17,1817.2,Tuesday
2021-08-18,1789.84,Wednesday
2021-08-19,1823.2,Thursday
2021-08-20,1789.88,Friday
2021-08-21,1847.26,Saturday
2021-08-22,1810.4,Sunday
2021-08-23,1821.83,Monday
2021-08-24,1835.07,Tuesday
2021-08-25,1801.96,Wednesday
2021-08-26,1819.73,Thursday
2021-08-27,1820.71,Friday
2021-08-28,1793.93,Saturday
2021-08-29,1825.62,Sunday
2021-08-30,1804.47,Monday
2021-08-31,1794.45,Tuesday
2021-09-01,1832.4,Wednesday
2021-09-02,1817.76,Thursday
2021-09-03,1780.42,Friday
2021-09-04,1792.92,Saturday
2021-09-05,1845.17,Sunday
2021-09-06,1842.59,Monday
2021-09-07,1785.21,Tuesday
2021-09-08,1798.97,Wednesday
2021-09-09,1816.53,Thursday
2021-09-10,1883.17,Friday
2021-09-11,1821.52,Saturday
2021-09-12,1859.25,Sunday
2021-09-13,1819.7,Monday
2021-09-14,1833.88,Tuesday
2021-09-15,1800.5,Wednesday
2021-09-16,1795.1,Thursday
2021-09-17,1810.6,Friday
2021-09-18,1823.41,Saturday
2021-09-19,1786.25,Sunday
2021-09-20,1824.52,Monday
2021-09-21,1819.82,Tuesday
2021-09-22,1826.85,Wednesday
2021-09-23,1852.93,Thursday
2021-09-24,1848.97,Friday
2021-09-25,1811.32,Saturday
2021-09-26,1812.26,Sunday
2021-09-27,1819.64,Monday
2021-09-28,1774.8,Tuesday
2021-09-29,1854.62,Wednesday
2021-09-30,1826.42,Thursday
2021-10-01,1827.16,Friday
2021-10-02,1843.93,Saturday
2021-10-03,1816.14,Sunday
2021-10-04,1808.06,Monday
2021-10-05,1862.79,Tuesday
2021-10-06,1816.39,Wednesday
2021-10-07,1797.21,Thursday
2021-10-08,1797.86,Friday
2021-10-09,1880.46,Saturday
2021-10-10,1821.91,Sunday
2021-10-11,1804.82,Monday
2021-10-12,1853.2,Tuesday
2021-10-13,1807.56,Wednesday
2021-10-14,1823.68,Thursday
2021-10-15,1794.78,Friday
2021-10-16,1787.66,Saturday
2021-10-17,1831.68,Sunday
2021-10-18,1776.0,Monday
2021-10-19,1823.94,Tuesday
2021-10-20,1795.84,Wednesday
2021-10-21,1769.7,Thursday
2021-10-22,1747.88,Friday
2021-10-23,1872.38,Saturday
2021-10-24,1841.75,Sunday
2021-10-25,1836.3,Monday
2021-10-26,1826.99,Tuesday
2021-10-27,1826.05,Wednesday
2021-10-28,1826.4,Thursday
2021-10-29,1793.76,Friday
2021-10-30,1806.5,Saturday
2021-10-31,1839.27,Sunday
2021-11-01,1774.75,Monday
2021-11-02,1806.92,Tuesday
2021-11-03,1810.7,Wednesday
2021-11-04,1851.46,Thursday
2021-11-05,1820.24,Friday
2021-11-06,1797.27,Saturday
2021-11-07,1798.02,Sunday
2021-11-08,1837.46,Monday
2021-11-09,1805.57,Tuesday
2021-11-10,1769.2,Wednesday
2021-11-11,1833.39,Thursday
2021-11-12,1770.55,Friday
2021-11-13,1857.8,Saturday
2021-11-14,1854.46,Sunday
2021-11-15,1794.26,Monday
2021-11-16,1815.47,Tuesday
2021-11-17,1860.91,Wednesday
2021-11-18,1848.09,Thursday
2021-11-19,1837.49,Friday
2021-11-20,1844.03,Saturday
2021-11-21,1827.28,Sunday
2021-11-22,1849.43,Monday
2021-11-23,1832.47,Tuesday
2021-11-24,1816.48,Wednesday
2021-11-25,1805.2,Thursday
2021-11-26,1867.23,Friday
2021-11-27,1803.75,Saturday
2021-11-28,1845.24,Sunday
2021-11-29,1811.47,Monday
2021-11-30,1801.54,Tuesday
2021-12-01,1826.85,Wednesday
2021-12-02,1819.24,Thursday
2021-12-03,1828.01,Friday
2021-12-04,1824.62,Saturday
2021-12-05,1790.94,Sunday
2021-12-06,1812.4,Monday
2021-12-07,1832.39,Tuesday
2021-12-08,1888.22,Wednesday
2021-12-09,1857.81,Thursday
2021-12-10,1830.3,Friday
2021-12-11,1824.82,Saturday
2021-12-12,1821.94,Sunday
2021-12-13,1857.79,Monday
2021-12-14,1874.37,Tuesday
2021-12-15,1869.48,Wednesday
2021-12-16,1870.14,Thursday
2021-12-17,1847.88,Friday
2021-12-18,1838.8,Saturday
2021-12-19,1821.68,Sunday
2021-12-20,1870.33,Monday
2021-12-21,1830.77,Tuesday
2021-12-22,1867.95,Wednesday
2021-12-23,1839.11,Thursday
2021-12-24,1847.52,Friday
2021-12-25,1835.83,Saturday
2021-12-26,1834.28,Sunday
2021-12-27,1864.77,Monday
2021-12-28,1828.06,Tuesday
2021-12-29,1823.34,Wednesday
2021-12-30,1840.55,Thursday
2021-12-31,1866.97,Friday
2022-01-01,1859.46,Saturday
2022-01-02,1824.69,Sunday
2022-01-03,1894.57,Monday
2022-01-04,1798.11,Tuesday
2022-01-05,1834.39,Wednesday
2022-01-06,1784.48,Thursday
2022-01-07,1810.39,Friday
2022-01-08,1812.05,Saturday
2022-01-09,1809.87,Sunday
2022-01-10,1838.21,Monday
2022-01-11,1890.82,Tuesday
2022-01-12,1861.79,Wednesday
2022-01-13,1832.4,Thursday
2022-01-14,1842.35,Friday
2022-01-15,1870.09,Saturday
2022-01-16,1828.21,Sunday
2022-01-17,1831.85,Monday
2022-01-18,1853.41,Tuesday
2022-01-19,1848.75,Wednesday
2022-01-20,1793.85,Thursday
2022-01-21,1841.3,Friday
2022-01-22,1837.19,Saturday
2022-01-23,1840.03,Sunday
2022-01-24,1875.31,Monday
2022-01-25,1825.45,Tuesday
2022-01-26,1849.58,Wednesday
2022-01-27,1871.74,Thursday
2022-01-28,1822.61,Friday
2022-01-29,1792.26,Saturday
