date,value,day_of_week
2021-08-12,5189,Thursday
2021-08-13,4838,Friday
2021-08-14,8494,Saturday
2021-08-15,5639,Sunday
2021-08-16,5126,Monday
2021-08-17,6274,Tuesday
2021-08-18,5050,Wednesday
2021-08-19,5336,Thursday
2021-08-20,5093,Friday
2021-08-21,5701,Saturday
2021-08-22,6941,Sunday
2021-08-23,4703,Monday
2021-08-24,6558,Tuesday
2021-08-25,5707,Wednesday
2021-08-26,4679,Thursday
2021-08-27,5893,Friday
2021-08-28,7516,Saturday
2021-08-29,7875,Sunday
2021-08-30,5215,Monday
2021-08-31,3160,Tuesday
2021-09-01,5250,Wednesday
2021-09-02,5818,Thursday
2021-09-03,3580,Friday
2021-09-04,4758,Saturday
2021-09-05,7047,Sunday
2021-09-06,7860,Monday
2021-09-07,6000,Tuesday
2021-09-08,4200,Wednesday
2021-09-09,4735,Thursday
2021-09-10,13168,Friday
2021-09-11,7201,Saturday
2021-09-12,8669,Sunday
2021-09-13,5914,Monday
2021-09-14,5748,Tuesday
2021-09-15,5380,Wednesday
2021-09-16,7390,Thursday
2021-09-17,5354,Friday
2021-09-18,10251,Saturday
2021-09-19,5662,Sunday
2021-09-20,4557,Monday
2021-09-21,8587,Tuesday
2021-09-22,7321,Wednesday
2021-09-23,8124,Thursday
2021-09-24,6376,Friday
2021-09-25,7311,Saturday
2021-09-26,7305,Sunday
2021-09-27,8510,Monday
2021-09-28,4845,Tuesday
2021-09-29,6206,Wednesday
2021-09-30,7745,Thursday
2021-10-01,6293,Friday
2021-10-02,15627,Saturday
2021-10-03,4965,Sunday
2021-10-04,5294,Monday
2021-10-05,9650,Tuesday
2021-10-06,4730,Wednesday
2021-10-07,4784,Thursday
2021-10-08,4784,Friday
2021-10-09,20136,Saturday
2021-10-10,7126,Sunday
2021-10-11,4428,Monday
2021-10-12,7911,Tuesday
2021-10-13,4983,Wednesday
2021-10-14,6321,Thursday
2021-10-15,4976,Friday
2021-10-16,5919,Saturday
2021-10-17,7597,Sunday
2021-10-18,5108,Monday
2021-10-19,5339,Tuesday
2021-10-20,4621,Wednesday
2021-10-21,6285,Thursday
2021-10-22,3121,Friday
2021-10-23,15259,Saturday
2021-10-24,8756,Sunday
2021-10-25,7984,Monday
2021-10-26,7911,Tuesday
2021-10-27,8943,Wednesday
2021-10-28,7333,Thursday
2021-10-29,3858,Friday
2021-10-30,9834,Saturday
2021-10-31,6077,Sunday
2021-11-01,4280,Monday
2021-11-02,6960,Tuesday
2021-11-03,9036,Wednesday
2021-11-04,5630,Thursday
2021-11-05,4527,Friday
2021-11-06,7468,Saturday
2021-11-07,7111,Sunday
2021-11-08,11228,Monday
2021-11-09,3947,Tuesday
2021-11-10,5381,Wednesday
2021-11-11,6609,Thursday
2021-11-12,5426,Friday
2021-11-13,7421,Saturday
2021-11-14,10418,Sunday
2021-11-15,7224,Monday
2021-11-16,9753,Tuesday
2021-11-17,14343,Wednesday
2021-11-18,11373,Thursday
2021-11-19,9831,Friday
2021-11-20,8634,Saturday
2021-11-21,6233,Sunday
2021-11-22,9225,Monday
2021-11-23,7970,Tuesday
2021-11-24,5847,Wednesday
2021-11-25,5581,Thursday
2021-11-26,15701,Friday
2021-11-27,4822,Saturday
2021-11-28,7734,Sunday
2021-11-29,5819,Monday
2021-11-30,7780,Tuesday
2021-12-01,4210,Wednesday
2021-12-02,13578,Thursday
2021-12-03,5801,Friday
2021-12-04,13549,Saturday
2021-12-05,9041,Sunday
2021-12-06,8205,Monday
2021-12-07,7859,Tuesday
2021-12-08,16175,Wednesday
2021-12-09,12949,Thursday
2021-12-10,13287,Friday
2021-12-11,9390,Saturday
2021-12-12,10279,Sunday
2021-12-13,14326,Monday
2021-12-14,10987,Tuesday
2021-12-15,9009,Wednesday
2021-12-16,8964,Thursday
2021-12-17,11416,Friday
2021-12-18,11537,Saturday
2021-12-19,13321,Sunday
2021-12-20,14509,Monday
2021-12-21,11969,Tuesday
2021-12-22,9590,Wednesday
2021-12-23,10612,Thursday
2021-12-24,9068,Friday
2021-12-25,13359,Saturday
2021-12-26,14461,Sunday
2021-12-27,12170,Monday
2021-12-28,6886,Tuesday
2021-12-29,9739,Wednesday
2021-12-30,13777,Thursday
2021-12-31,12354,Friday
2022-01-01,13053,Saturday
2022-01-02,8120,Sunday
2022-01-03,22296,Monday
2022-01-04,12895,Tuesday
2022-01-05,8768,Wednesday
2022-01-06,5704,Thursday
2022-01-07,8577,Friday
2022-01-08,11685,Saturday
2022-01-09,13071,Sunday
2022-01-10,11722,Monday
2022-01-11,12770,Tuesday
2022-01-12,18511,Wednesday
2022-01-13,9327,Thursday
2022-01-14,16464,Friday
2022-01-15,15722,Saturday
2022-01-16,13297,Sunday
2022-01-17,12313,Monday
2022-01-18,9051,Tuesday
2022-01-19,14895,Wednesday
2022-01-20,8266,Thursday
2022-01-21,10792,Friday
2022-01-22,16868,Saturday
2022-01-23,11884,Sunday
2022-01-24,16828,Monday
2022-01-25,16303,Tuesday
2022-01-26,10859,Wednesday
2022-01-27,12701,Thursday
2022-01-28,15372,Friday
2022-01-29,15169,Saturday
2022-01-30,12595,Sunday
2022-01-31,12734,Monday
2022-02-01,14519,Tuesday
2022-02-02,15030,Wednesday
2022-02-03,14450,Thursday
2022-02-04,12895,Friday
2022-02-05,14145,Saturday
2022-02-06,19144,Sunday
2022-02-07,10344,Monday
2022-02-08,7217,Tuesday
2022-02-09,13168,Wednesday
2022-02-10,2293,Thursday
2022-02-11,7211,Friday
2022-02-12,8323,Saturday
2022-02-13,9437,Sunday
2022-02-14,7480,Monday
2022-02-15,14740,Tuesday
2022-02-16,21694,Wednesday
2022-02-17,22047,Thursday
2022-02-18,12517,Friday
2022-02-19,14539,Saturday
2022-02-20,2167,Sunday
2022-02-21,14663,Monday
2022-02-22,14464,Tuesday
2022-02-23,12746,Wednesday
2022-02-24,16041,Thursday
2022-02-25,11250,Friday
2022-02-26,11045,Saturday
