date,totaldurationhours,day_of_week
2021-08-12,7.425,Thursday
2021-08-13,6.666666666666667,Friday
2021-08-14,7.358333333333333,Saturday
2021-08-15,6.466666666666667,Sunday
2021-08-16,7.4,Monday
2021-08-17,7.516666666666667,Tuesday
2021-08-18,7.716666666666667,Wednesday
2021-08-19,6.916666666666667,Thursday
2021-08-20,5.933333333333334,Friday
2021-08-21,7.55,Saturday
2021-08-22,6.325,Sunday
2021-08-23,6.725,Monday
2021-08-24,7.075,Tuesday
2021-08-25,6.966666666666667,Wednesday
2021-08-26,5.525,Thursday
2021-08-27,6.2250000000000005,Friday
2021-08-28,6.891666666666667,Saturday
2021-08-29,6.300000000000001,Sunday
2021-08-30,5.958333333333334,Monday
2021-08-31,6.875,Tuesday
2021-09-01,6.175000000000001,Wednesday
2021-09-02,6.5,Thursday
2021-09-03,6.1,Friday
2021-09-04,6.191666666666666,Saturday
2021-09-05,6.916666666666667,Sunday
2021-09-06,8.891666666666666,Monday
2021-09-07,8.774999999999999,Tuesday
2021-09-08,6.75,Wednesday
2021-09-09,6.091666666666667,Thursday
2021-09-10,6.666666666666667,Friday
2021-09-11,6.541666666666667,Saturday
2021-09-12,6.425000000000001,Sunday
2021-09-13,6.425,Monday
2021-09-14,5.683333333333334,Tuesday
2021-09-15,5.616666666666667,Wednesday
2021-09-16,6.8,Thursday
2021-09-17,6.941666666666666,Friday
2021-09-18,6.475,Saturday
2021-09-19,6.9,Sunday
2021-09-20,7.241666666666667,Monday
2021-09-21,7.016666666666667,Tuesday
2021-09-22,7.025,Wednesday
2021-09-23,6.983333333333333,Thursday
2021-09-24,7.158333333333333,Friday
2021-09-25,6.091666666666667,Saturday
2021-09-26,5.699999999999999,Sunday
2021-09-27,6.3500000000000005,Monday
2021-09-28,6.2749999999999995,Tuesday
2021-09-29,7.25,Wednesday
2021-09-30,6.033333333333333,Thursday
2021-10-01,7.291666666666667,Friday
2021-10-02,6.6,Saturday
2021-10-03,7.075,Sunday
2021-10-04,6.366666666666666,Monday
2021-10-05,6.1499999999999995,Tuesday
2021-10-06,6.908333333333333,Wednesday
2021-10-07,6.633333333333333,Thursday
2021-10-08,7.416666666666666,Friday
2021-10-09,6.0,Saturday
2021-10-10,5.8999999999999995,Sunday
2021-10-11,7.133333333333333,Monday
2021-10-12,6.733333333333333,Tuesday
2021-10-14,6.925,Thursday
2021-10-15,7.05,Friday
2021-10-16,8.233333333333334,Saturday
2021-10-17,7.233333333333333,Sunday
2021-10-18,6.733333333333333,Monday
2021-10-19,5.9,Tuesday
2021-10-20,5.933333333333334,Wednesday
2021-10-21,7.483333333333333,Thursday
2021-10-22,7.591666666666667,Friday
2021-10-23,6.316666666666666,Saturday
2021-10-24,6.875,Sunday
2021-10-25,5.949999999999999,Monday
2021-10-26,7.725,Tuesday
2021-10-27,7.2250000000000005,Wednesday
2021-10-28,7.4,Thursday
2021-10-29,5.725,Friday
2021-10-30,6.766666666666667,Saturday
2021-10-31,6.816666666666666,Sunday
2021-11-02,7.533333333333333,Tuesday
2021-11-03,6.65,Wednesday
2021-11-04,6.325,Thursday
2021-11-05,7.341666666666667,Friday
2021-11-06,6.766666666666667,Saturday
2021-11-07,7.108333333333333,Sunday
2021-11-08,6.35,Monday
2021-11-09,7.075,Tuesday
2021-11-10,7.258333333333334,Wednesday
2021-11-11,4.041666666666666,Thursday
2021-11-12,7.316666666666666,Friday
2021-11-13,6.408333333333333,Saturday
2021-11-14,7.108333333333333,Sunday
2021-11-15,7.5249999999999995,Monday
2021-11-16,7.316666666666667,Tuesday
2021-11-17,7.558333333333333,Wednesday
2021-11-18,7.458333333333334,Thursday
2021-11-19,7.433333333333334,Friday
2021-11-20,7.5166666666666675,Saturday
2021-11-21,6.483333333333333,Sunday
2021-11-22,7.616666666666667,Monday
2021-11-23,5.316666666666666,Tuesday
2021-11-25,6.2,Thursday
2021-11-26,6.608333333333333,Friday
2021-11-28,6.933333333333334,Sunday
2021-11-30,6.55,Tuesday
2021-12-01,6.675,Wednesday
2021-12-02,7.316666666666666,Thursday
2021-12-03,6.675,Friday
2021-12-04,6.725,Saturday
2021-12-05,6.525,Sunday
2021-12-06,7.133333333333333,Monday
2021-12-07,6.566666666666666,Tuesday
2021-12-08,6.308333333333334,Wednesday
2021-12-09,7.675000000000001,Thursday
2021-12-10,6.916666666666666,Friday
2021-12-11,7.433333333333334,Saturday
2021-12-12,5.208333333333333,Sunday
2021-12-13,6.991666666666667,Monday
2021-12-14,8.15,Tuesday
2021-12-15,7.408333333333333,Wednesday
2021-12-16,6.883333333333334,Thursday
2021-12-17,7.6,Friday
2021-12-18,7.324999999999999,Saturday
2021-12-19,8.600000000000001,Sunday
2021-12-20,6.983333333333333,Monday
2021-12-21,7.258333333333334,Tuesday
2021-12-22,8.141666666666666,Wednesday
2021-12-23,7.241666666666666,Thursday
2021-12-24,7.333333333333333,Friday
2021-12-25,7.416666666666667,Saturday
2021-12-26,6.95,Sunday
2021-12-27,7.5,Monday
2021-12-28,7.391666666666667,Tuesday
2021-12-29,6.958333333333334,Wednesday
2021-12-30,6.691666666666666,Thursday
2021-12-31,7.45,Friday
2022-01-01,6.825,Saturday
2022-01-02,6.283333333333333,Sunday
2022-01-03,7.558333333333334,Monday
2022-01-04,7.841666666666667,Tuesday
2022-01-05,8.675,Wednesday
2022-01-07,8.033333333333333,Friday
2022-01-08,7.95,Saturday
2022-01-09,7.3,Sunday
2022-01-10,7.583333333333333,Monday
2022-01-11,7.641666666666667,Tuesday
2022-01-13,8.25,Thursday
2022-01-14,6.933333333333334,Friday
2022-01-16,7.183333333333333,Sunday
2022-01-17,8.283333333333333,Monday
2022-01-18,7.358333333333333,Tuesday
2022-01-19,6.1,Wednesday
2022-01-20,8.058333333333334,Thursday
2022-01-21,7.058333333333334,Friday
2022-01-24,6.8,Monday
2022-01-25,7.766666666666667,Tuesday
2022-01-26,7.441666666666666,Wednesday
2022-01-27,7.716666666666667,Thursday
2022-01-28,6.241666666666666,Friday
2022-01-31,7.966666666666666,Monday
2022-02-01,7.3,Tuesday
2022-02-02,6.291666666666666,Wednesday
2022-02-07,7.316666666666666,Monday
2022-02-08,6.958333333333334,Tuesday
2022-02-09,7.108333333333333,Wednesday
2022-02-10,6.708333333333333,Thursday
2022-02-11,7.091666666666667,Friday
2022-02-14,6.8500000000000005,Monday
2022-02-15,7.975,Tuesday
2022-02-16,7.991666666666665,Wednesday
2022-02-17,7.233333333333333,Thursday
2022-02-18,6.949999999999999,Friday
2022-02-21,7.091666666666667,Monday
2022-02-22,7.375,Tuesday
2022-02-23,6.691666666666666,Wednesday
2022-02-24,7.166666666666666,Thursday
2022-02-25,6.541666666666666,Friday
2022-02-28,6.783333333333333,Monday
2022-03-01,7.266666666666667,Tuesday
2022-03-02,8.108333333333334,Wednesday
2022-03-03,6.5,Thursday
2022-03-04,7.1083333333333325,Friday
2022-03-07,7.058333333333334,Monday
2022-03-08,7.199999999999999,Tuesday
2022-03-09,7.225,Wednesday
2022-03-10,6.975,Thursday
2022-03-11,7.425,Friday
2022-03-14,7.55,Monday
2022-03-15,6.3,Tuesday
2022-03-16,5.791666666666666,Wednesday
2022-03-17,7.066666666666666,Thursday
2022-03-18,6.591666666666667,Friday
